name,num_game,avg_rating
AUSSIE BATTLER GAMES,1,5
AUTOSAVE,1,5.25
AV media lab,1,9.58
AVA Gaming,1,3.33
AVB VR Games,1,8.57
AVE,1,3.61
AVRLON VR Studio,1,8.33
AWS,1,10
AYE Technology,27,5.08
AYE Technology ,1,8.56
AYGames;WhisperGames,1,8.56
AZAMATIKA,3,9.35
Aardman Animations,1,9.54
Aaron Angert,1,7.14
Aaron Cochrane,1,8.33
Aaron Legault,1,10
Aaron Matthies,1,8.67
Aartform,1,7.33
Aartform Games,2,7.05
Aatlantis Code,1,6.25
Abbey Games,2,8.63
Abbeytek Ltd,1,8.75
Abdulla Hassan Al-Farsi,2,8.84
Abdullah Firat,2,9.44
Aberrant Realities,1,10
Abnormal Software,1,8.92
About Airplane LLC,1,10
Above and Beyond Technologies,1,4.52
Abraxas Interactive,1,10
AbsQual Studio,1,6.07
Absolut Soft LLC,1,5.45
Absolutist Ltd.,9,6.2
Absorbed Studios,1,6.1
Abstract Software Inc.,1,5.94
Abstract Tree Studio,1,4.51
AbstractArt,1,9.23
AbstractGameStudio,2,4.05
Abstraction Games,1,10
Abstractive Works,1,2.94
Abstractron,1,5
Abylight Studios,1,8.53
Abyss Gameworks,1,5.35
Abyss Lights Studio LLP,1,5.88
Abyssal Arts Ltd.,1,7.5
Abyte Entertainment,1,9.1
Acalamity,1,6.25
"Acceleroto, Inc.",1,9.06
Accenthd,1,7.37
Accident Games Studio,1,9
Ace of Spades Studios,1,10
AceGamer Network,1,5.52
Achebit,1,8.16
Achievement Studios,2,4.55
Achpile,2,9.57
Acid Cat,1,6.84
Acid Spy Games,1,9.25
Acid Wizard Studio,1,9.42
Acke Hallgren,1,9.59
Ackmi,1,5
"Acme Nerd Games, LLC",1,6.67
Acrylec Studios,1,8.33
"Act 3 Games, LLC",1,8.1
ActEvolve Inc.,1,6.67
Actigame Publishing Corp.,1,7.98
Action Portal,4,2.46
Activision,17,7.76
Activision Value Inc.;ImageCode,1,8.1
Activison,1,8.28
"Acttil, LLC.",1,5.63
Actual Humans,1,10
"Actually A Game Company, L.L.C",1,7.42
Actually Sane Studios,1,3.33
Actuator Games LLC,1,10
Acuze Interactives,2,3.05
Acylis Studios UF,1,3.33
Adam DeLease,3,7.1
Adam Hebert,1,8
Adam John Adkins,1,8.46
Adam Mowery,1,7.43
Adam Spragg,1,9.87
Adam Tarnowski,2,8.67
Adam Wells,1,9.05
Adaptive Game,1,8.67
"Addicting Games;Defy Media, LLC",1,8.68
Adham Jaber,1,3.62
Adhere Technology,1,6.84
Adil Ahmed,1,8
Adipson Studio,1,8.33
Aditon Inc,1,8.18
Admax Game,1,2.77
Adreamation Games Studio,1,10
Adrenasoft Studios,1,6.88
Adriaan de Jongh,1,9.66
Adrian Waltrowski,1,10
AdroVGames,2,6.96
Adult Swim Games,20,8.18
Advanced Interactive Gaming Ltd.,1,9.33
Advent RPG,2,7.5
Adventure Islands,3,9.83
Adventure Mob;Corbomite Games,1,5.12
Adventure Productions;Daring Touch,2,7.5
Adventurepro Games LLC,2,9.01
Aedis Games Inc.,1,10
Aegon Games,1,7
Aegon Games Ltd,2,4.9
Aeonic Entertainment,1,8.15
Aera Studios,1,8.12
Aeria Games,2,7.39
Aerilon Studios,1,7.94
Aero Games LLC,1,7.88
AeroLab Studios ,1,5
AeroRider,1,9.29
Aerolab Studios LTD,1,3.71
Aerolito,1,9
Aerosoft GmbH,7,5.12
Afeel inc,1,8.46
Afrobeast PTY. LTD.,1,10
Afrosquared LLC,1,10
After Death Team,1,9.38
"After Sunset Games, LLC",1,9.23
Afterburn,1,10
Afterlife Games,1,0
Afterthought Games,1,6.67
Afterthought LLC,1,6.88
Afterthought Studios,7,7.27
Agafonoff,3,7.24
Age of Fear,4,9
Agelvik,2,8.48
Agency Principle,1,2.5
Agent Mega,3,6.31
Agger Interactive,3,5.86
Aggroblakh,3,7.55
Agharta Studio,1,8.47
Aghayeva and Ko s.r.o.,1,5.69
Agustin Eisman Moreno,3,8.33
Ahavah Studio,1,6.67
Ahlman Game Studio,1,6.67
Ahndong Studio,1,4.67
Aidan Gignac,1,8.12
Aikesi,1,9.44
Aikio,1,8
Aim Theory,1,7.5
"Air Viki, LLC",1,0
